,Sum log-adjP-values,adjP-values,Category
Fth1,-233.1366932583566,"[0.08239252079587438, 1e-10, 0.9619048085244152, 0.1778317533570701, 1e-10, 1e-10, 2.7577620963547753e-07, 1e-10, 1e-10, 1e-10, 4.671866912697411e-10, 1e-10, 0.015585094179321779, 0.004479173542616104, 0.06639190086188818, 0.04053355826750665, 1.6252531321536915e-06, 1e-10, 1e-10, 1e-10, 0.6576643654989028, 6.249399944693682e-07, 1e-10, 1.5769091863231558e-05, 4.723971748909012e-05, 1.802817602186647e-08, 1e-10, 0.7981274223646624, 1e-10, 1e-10, 4.057733478318638e-09, 1e-10, 0.35616029993291326, 1e-10, 0.20680568113835987, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps15,-233.0494209448143,"[1.9913685762555794e-09, 1e-10, 0.07236112359807702, 1e-10, 1e-10, 1e-10, 0.002330079732005561, 1e-10, 1e-10, 0.368331047534361, 0.5848575639164334, 0.0003538396619230803, 0.583158890573918, 0.853312850743377, 0.0004990876174396153, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.5945012095746778, 1e-10, 0.004475146287326352, 0.0004769943071267805, 0.0003125188561485259, 0.0015820020997332517, 0.5893742615935337, 1e-10, 1e-10, 1e-10, 1e-10, 0.37969665074754333, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps14,-232.8567992542648,"[1.7708233230662418e-08, 0.0046674407087408986, 0.028123549007513533, 1e-10, 1e-10, 1e-10, 0.6578586407778018, 1e-10, 1e-10, 1e-10, 0.4141998210067465, 0.8361346011213363, 0.9185866130197264, 0.6663646587269934, 1.6145410013766086e-07, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.5383027802424872, 1e-10, 1e-10, 0.20199414762963988, 1.1561708453479259e-10, 1e-10, 0.05123683641286965, 0.43233904855726996, 1e-10, 1e-10, 1e-10, 1e-10, 0.16601395445929065, 1e-10, 0.5746957139461457, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps27a,-232.7594088797112,"[1e-10, 1e-10, 0.08587597341960534, 1e-10, 1e-10, 1e-10, 0.3688831228064322, 1.8411321705000282e-10, 1e-10, 1.7166007668945191e-06, 0.6390703610812815, 0.030711276059459492, 0.7956132104828869, 0.5658508356072834, 0.5168089600617986, 1e-10, 1e-10, 1e-10, 1.1223392393491442e-10, 1.4593518948002997e-07, 1e-10, 3.032138380224479e-08, 1e-10, 0.0689585254121681, 0.017236862893303975, 1e-10, 0.9759655793811118, 0.6041202045873505, 1e-10, 1e-10, 1e-10, 1e-10, 0.3505976414404406, 1e-10, 3.1192460707550555e-06, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps25,-232.06080217333704,"[1e-10, 1e-10, 0.6536293647607384, 1e-10, 1e-10, 1e-10, 0.6527729003143422, 1e-10, 1e-10, 5.873330211188473e-05, 4.996599125294441e-07, 0.0004040765931804566, 0.8417180221144014, 0.8297821921096789, 0.08799046257649086, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.008554316563441458, 1e-10, 0.050049887746376455, 0.0007416048407524096, 0.00860533798595204, 0.9121865314834002, 0.7125989301421989, 1e-10, 1e-10, 1e-10, 1e-10, 0.6652997900171754, 1e-10, 2.366138031553417e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl15,-231.19597887739286,"[1e-10, 1e-10, 0.03446619391647698, 1e-10, 1e-10, 1e-10, 0.20230569101005746, 1e-10, 1e-10, 0.06454067578562117, 0.958669984856278, 1e-10, 0.7288084447383028, 0.14263121406811793, 0.05699432065490491, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 3.8517889956751955e-06, 1e-10, 0.2916432969190792, 0.0603438629490284, 0.00028554547082445533, 0.5330496787486009, 0.8763710439114194, 2.77865063367161e-05, 1e-10, 1e-10, 1e-10, 0.9916193157794578, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl4,-230.52247773353207,"[1e-10, 1e-10, 0.2558986457465243, 1e-10, 1e-10, 1e-10, 0.5801994799997816, 7.33428284493526e-09, 1e-10, 2.1002217694248403e-07, 0.0005145027761387097, 1e-10, 0.020501284942223166, 0.9702015492061437, 0.3752851879346905, 1.0917713312523662e-08, 1e-10, 9.688946232175161e-09, 1e-10, 1e-10, 1e-10, 8.488074419147044e-08, 1e-10, 0.22605540280186337, 0.2848451084689586, 1e-10, 0.8060516424301948, 0.7500687041025899, 0.5350095159076201, 1e-10, 1e-10, 1e-10, 0.8563389038506203, 5.8335026321795896e-09, 3.6594884617159687e-07, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps15a,-228.96584813555154,"[1.4323526913801009e-10, 1e-10, 0.9306513484278707, 1e-10, 1e-10, 1e-10, 0.003929804803109234, 1e-10, 1e-10, 0.0635318726012929, 0.015167369791752764, 1e-10, 0.16612960082214343, 0.5179965505519747, 0.7274431499896105, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.7976012175669481, 1e-10, 0.014983705173701378, 7.170991179620535e-05, 1e-10, 0.20879075124993787, 0.955115791318149, 0.00020825638842339193, 1e-10, 9.531571857404898e-09, 1e-10, 0.24601517069987433, 1e-10, 0.00041019728389977994, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl27,-227.6106814437457,"[4.0785663634041137e-10, 1e-10, 0.10083487828346248, 1e-10, 1e-10, 1e-10, 0.2976070267616713, 1e-10, 1e-10, 0.0006244631433200994, 0.0005245172824511396, 1e-10, 0.2396141851771282, 0.09001141821055855, 0.9017891636459479, 2.1387604283546233e-08, 1e-10, 1.970333445208054e-09, 1e-10, 1e-10, 1e-10, 0.001089457155980686, 1e-10, 0.026859426183345858, 0.05231891588152229, 0.023535549858602945, 0.25559328975579565, 0.9530895439870667, 1e-10, 1e-10, 1e-10, 1e-10, 0.5949622846146665, 1e-10, 0.00014282718569629685, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl35a,-226.67627093056822,"[1e-10, 1e-10, 0.7261666081691309, 1e-10, 1e-10, 1e-10, 0.28434313517826015, 1e-10, 1e-10, 0.0827446293513364, 0.3997677403529203, 0.8646471196747525, 0.9514882668836009, 0.987478952873583, 0.47294245693403947, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.03802362781584174, 0.0031723417180199707, 0.103442170489543, 0.037240198161193054, 0.8017700396373079, 1e-10, 1e-10, 1e-10, 1e-10, 0.20901125026171777, 1e-10, 1.0312438989045516e-07, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Serf2,-225.26352309346439,"[0.7657445692297454, 0.4793800506486452, 2.2185184441057436e-09, 1e-10, 1e-10, 1e-10, 0.0038300549148634826, 1e-10, 1e-10, 1.292348837894596e-08, 1e-10, 0.11622389725229831, 0.2662388432127698, 0.3878382030061526, 0.001699991404645913, 1e-10, 1e-10, 1e-10, 0.1587803467512428, 3.915689000866872e-09, 1e-10, 1e-10, 1.112708535538439e-07, 0.3022872207318313, 5.08914708916328e-06, 0.012395974752328542, 3.399348752985854e-06, 0.10767035704475668, 1e-10, 1e-10, 1e-10, 1e-10, 0.0004358515888377882, 0.007376880591417046, 4.269391349332501e-06, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl27a,-225.2620761603667,"[1e-10, 1e-10, 0.7014838023602841, 1e-10, 1e-10, 1e-10, 0.8118167090939424, 1e-10, 1e-10, 3.281484475644186e-08, 0.9324939092747734, 0.0007765721147553184, 0.5293589176854853, 1.4746731500232262e-05, 0.899619603563974, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 4.363624157683547e-08, 1e-10, 0.005276208896236907, 0.02453089724027164, 0.20021767734132953, 0.025032876625537867, 0.8649719949743893, 0.00019685002068301033, 1e-10, 1e-10, 1e-10, 0.5034664283441342, 1e-10, 0.02371598577282453, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Itm2b,-224.8664262527519,"[0.028781656847151133, 0.01373092025612892, 1e-10, 1e-10, 1e-10, 0.0017621935900486584, 0.061344125740789505, 1e-10, 1e-10, 1e-10, 1e-10, 0.000852256223805552, 0.45471927123194444, 0.891309784047822, 0.635498201145283, 0.8275649434231543, 1e-10, 1e-10, 0.00010801547087567146, 0.09249020542003034, 1e-10, 1e-10, 1e-10, 0.9145362719645703, 1e-10, 2.950322539002763e-06, 1e-10, 0.009090979074311887, 1e-10, 1e-10, 4.394757945845074e-06, 0.009016554754573872, 2.3671177902680445e-05, 7.624560859403381e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Tmsb10,-224.8093878616943,"[1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.353056307144556, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.08551534930916797, 0.29982045682512387, 0.00038085983476104, 0.01520339411733316, 1e-10, 1e-10, 1e-10, 1e-10, 0.34869460058339286, 1e-10, 0.5021989057658242, 0.3227792028279421, 0.19399001589444792, 1.545748539428675e-10, 0.023996369604573388, 2.2800777641345374e-07, 0.4104113941518155, 0.11167467227433303, 1e-10, 1e-10, 0.0002404726023936219, 9.334613184275764e-07, 5.022896989262825e-07, 0.6174856200569522, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
