,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
50007,30m,Ifi47,6.342526,1.746435,2.2602823813019696e-10,3.7000912275658532e-09,Limb-Muscle_mesenchymal stem cell
49508,30m,AI607873,32.896084,1.7347803,2.500357652782253e-237,5.157300203569994e-234,Limb-Muscle_mesenchymal stem cell
17103,18m,Gm11428,3.1402977,1.0763112,0.0016877626893037395,0.02362152004766837,Limb-Muscle_mesenchymal stem cell
33469,24m,C7,3.4428432,0.91995996,0.000575633103400222,0.007830603329931627,Limb-Muscle_mesenchymal stem cell
33251,24m,Ces1d,5.941982,0.9180199,2.8159665590502355e-09,1.1089800522884948e-07,Limb-Muscle_mesenchymal stem cell
33398,24m,Enpp5,4.0752697,0.9107373,4.596100776866675e-05,0.0008559848636464673,Limb-Muscle_mesenchymal stem cell
16510,18m,S100a4,14.494442,0.90545785,1.313649746188465e-47,1.6674257278350663e-44,Limb-Muscle_mesenchymal stem cell
33405,24m,Retnla,4.0244923,0.8797334,5.7098417967555194e-05,0.0010376442674918814,Limb-Muscle_mesenchymal stem cell
33306,24m,Abca6,5.1033874,0.8599452,3.336270705874924e-07,9.624441069517853e-06,Limb-Muscle_mesenchymal stem cell
17005,18m,Vgll3,3.6583345,0.85836333,0.00025385958292495293,0.004489750244206482,Limb-Muscle_mesenchymal stem cell
33353,24m,Arhgap20,4.60839,0.80982983,4.057989751436614e-06,9.579526307361312e-05,Limb-Muscle_mesenchymal stem cell
17099,18m,Tyrobp,3.149616,0.8071167,0.0016348519514033108,0.023017655332854978,Limb-Muscle_mesenchymal stem cell
16917,18m,Mmp3,4.2359486,0.7962519,2.2758878465785488e-05,0.0005054431407320678,Limb-Muscle_mesenchymal stem cell
33519,24m,Beta-s,3.01098,0.7915564,0.002604060921825885,0.02853227707240965,Limb-Muscle_mesenchymal stem cell
33184,24m,Tuba4a,7.693576,0.79099923,1.4307866498731925e-14,9.406139645242053e-13,Limb-Muscle_mesenchymal stem cell
16720,18m,Angptl4,6.4468055,0.7903711,1.1423231047204922e-10,5.437265960187657e-09,Limb-Muscle_mesenchymal stem cell
33085,24m,Hsd11b1,10.321656,0.78597975,5.624422506926196e-25,8.361134755566591e-23,Limb-Muscle_mesenchymal stem cell
33053,24m,Inmt,11.776558,0.7794837,5.155597715913745e-32,1.2510664398572457e-29,Limb-Muscle_mesenchymal stem cell
16544,18m,Lgals3,10.460911,0.7576426,1.3059388139779113e-25,3.3670775577264864e-23,Limb-Muscle_mesenchymal stem cell
16647,18m,C4b,7.6987553,0.7074316,1.3739796684124225e-14,1.0496314124293234e-12,Limb-Muscle_mesenchymal stem cell
16634,18m,Serpina3n,8.083213,0.70598125,6.308226672804348e-16,5.393370379686246e-14,Limb-Muscle_mesenchymal stem cell
16636,18m,Fibin,7.962763,0.7058574,1.6823973232045027e-15,1.4020827388988636e-13,Limb-Muscle_mesenchymal stem cell
922,1m,Myog,3.3067348,6.415295,0.0009439022610959673,0.011477768025309178,Limb-Muscle_skeletal muscle satellite cell
519,1m,Dlk1,4.0260344,5.543239,5.672536337940212e-05,0.0010400280234705715,Limb-Muscle_skeletal muscle satellite cell
171,1m,Emid2,5.2718906,4.1163373,1.3502553950897397e-07,4.612953265916313e-06,Limb-Muscle_skeletal muscle satellite cell
1076,1m,Homer2,3.108394,4.10275,0.001881071514741308,0.0203271519742936,Limb-Muscle_skeletal muscle satellite cell
