,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Chac2,-0.101440357,3.74E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101440357
Esco1,0.101431772,3.74E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101431772
Atxn2l,0.101423088,3.75E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101423088
Lcor,0.101403856,3.77E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101403856
Lsm12,0.101292213,3.86E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101292213
Tpp1,-0.10129109,3.86E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10129109
Ostb,-0.101290296,3.86E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101290296
Rragd,0.101267475,3.88E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101267475
Col4a5,-0.10121578,3.93E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10121578
Ano10,-0.10120846,3.93E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10120846
0610005C13Rik,0.101204641,3.94E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101204641
Stard7,-0.101196415,3.94E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101196415
Pfdn1,0.10110966,4.02E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10110966
Fam25c,-0.101088138,4.04E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101088138
Lifr,-0.101020781,4.10E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101020781
Slc11a2,0.10099283,4.12E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10099283
Grina,-0.100981732,4.13E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100981732
Cd36,-0.100952431,4.16E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100952431
Nr1h4,-0.100916069,4.19E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100916069
Bnip3,0.100888101,4.22E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100888101
LOC100504608,0.100880211,4.23E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100880211
Lima1,0.100766446,4.34E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100766446
Lsm2,0.100737769,4.36E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100737769
Cpe,0.100726634,4.37E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.100726634
