,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Amfr,-0.219816982,4.44E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219816982
Mylk,0.219795799,4.48E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219795799
Klf6,0.219712237,4.67E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219712237
Gstt1,0.219511932,5.14E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219511932
Ppt2,-0.219332168,5.60E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219332168
Gpc3,0.219276302,5.76E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219276302
Dst,-0.219139476,6.15E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.219139476
Gabrb3,0.218806366,7.21E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.218806366
Ddx5,0.218746962,7.42E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.218746962
Sirpa,0.218529489,8.24E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.218529489
Ccdc141,0.218392326,8.80E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.218392326
Slc38a3,-0.218042201,1.04E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.218042201
Tnfaip8,0.217874755,1.13E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.217874755
Arhgap15,0.21659809,2.07E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.21659809
Cyp4b1,-0.214879124,4.67E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.214879124
Ang,0.214825746,4.78E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.214825746
Impact,0.21431741,6.07E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.21431741
B4galt5,-0.214300041,6.12E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.214300041
Rabac1,-0.214043273,6.91E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.214043273
H3f3b,0.213956605,7.19E-23,Kidney_kidney proximal convoluted tubule epithelial cell,0.213956605
Slc3a1,-0.213113913,1.07E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.213113913
Limch1,0.212825235,1.22E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.212825235
Blvra,-0.212557722,1.38E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.212557722
Rpl41,0.212054053,1.75E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.212054053
Cox6b2,-0.211942847,1.84E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.211942847
Gm5480,0.211890681,1.88E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.211890681
Fga,0.211581607,2.17E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.211581607
Slc3a2,0.211431899,2.33E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.211431899
Haao,-0.21123077,2.56E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.21123077
Slc7a13,-0.211112103,2.70E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.211112103
Csad,-0.210918444,2.95E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.210918444
Cdk12,0.210842202,3.06E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.210842202
Sh3bgrl3,0.210745732,3.20E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.210745732
Fgb,0.210458735,3.65E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.210458735
Rpl37a,0.21041269,3.73E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.21041269
Cxcl12,-0.210120404,4.27E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.210120404
Rpl3,0.209532452,5.59E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.209532452
Bcap31,-0.209436979,5.84E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.209436979
Pcbd1,0.209291089,6.24E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.209291089
Srsf5,0.209256071,6.34E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.209256071
Rpl13,0.208983845,7.18E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.208983845
Tmem229a,-0.208660551,8.32E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.208660551
Hpn,-0.208323957,9.70E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.208323957
Gpc4,-0.208277785,9.91E-22,Kidney_kidney proximal convoluted tubule epithelial cell,0.208277785
Ndufa9,-0.207833172,1.21E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.207833172
Sult1c2,0.207792289,1.24E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.207792289
Aldh6a1,-0.20742747,1.46E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.20742747
Hint1,0.206998721,1.77E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206998721
Cmtm6,-0.206977131,1.79E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206977131
Trp53bp2,-0.206867202,1.88E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206867202
Gm2a,-0.206682437,2.04E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206682437
Vps8,-0.20663007,2.09E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.20663007
1300010F03Rik,-0.206405432,2.31E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206405432
Ahnak,0.206176998,2.56E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206176998
Paqr5,-0.206152115,2.59E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206152115
Galnt14,-0.206147508,2.60E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.206147508
Nat8,-0.205699554,3.18E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.205699554
Spc25,-0.205480201,3.51E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.205480201
Apeh,-0.205460021,3.54E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.205460021
Ybx1,0.205286421,3.83E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.205286421
Cttnbp2,0.204905331,4.54E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.204905331
Slc15a2,-0.204860203,4.63E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.204860203
Slc22a22,-0.204451529,5.56E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.204451529
Amacr,-0.204013782,6.76E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.204013782
Rps21,0.20359381,8.14E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.20359381
0610012H03Rik,-0.203506484,8.47E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.203506484
Ascc1,0.203451615,8.67E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.203451615
Plekha8,-0.203290793,9.32E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.203290793
Cckar,-0.203189619,9.74E-21,Kidney_kidney proximal convoluted tubule epithelial cell,0.203189619
Lpcat3,-0.202753788,1.18E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.202753788
Lgals3bp,0.202741846,1.19E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.202741846
Bhmt2,-0.202562065,1.29E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.202562065
Tbxas1,0.20249128,1.33E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.20249128
Cgref1,-0.202397437,1.38E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.202397437
Dusp1,0.202335764,1.42E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.202335764
Mgat4b,-0.202189129,1.52E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.202189129
Ncoa7,0.201597383,1.97E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.201597383
Rps29,0.201456351,2.09E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.201456351
Aplp2,-0.201438686,2.11E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.201438686
Dleu2,0.201099886,2.45E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.201099886
Cpne4,0.201040947,2.51E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.201040947
Sephs2,0.201038957,2.51E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.201038957
Trp53inp2,-0.200650197,2.98E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.200650197
Kap,-0.200552602,3.11E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.200552602
P4hb,-0.20031942,3.44E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.20031942
Snx16,0.199994163,3.97E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199994163
Rps27a,0.199876288,4.18E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199876288
Dnajb4,0.199836285,4.25E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199836285
Gpx3,0.199702661,4.51E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199702661
Prodh2,0.199385543,5.17E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199385543
Lgmn,0.199385536,5.17E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199385536
Acot13,-0.199313997,5.34E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199313997
BC005561,0.199111359,5.83E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199111359
Atpif1,-0.199064156,5.95E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.199064156
Abcd3,-0.198886183,6.43E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.198886183
Rplp1,0.198838011,6.56E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.198838011
Amn,-0.19864621,7.13E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.19864621
Slc13a1,0.198111388,8.98E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.198111388
Jund,0.197920417,9.75E-20,Kidney_kidney proximal convoluted tubule epithelial cell,0.197920417
Vnn1,-0.197595579,1.12E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.197595579
Ipmk,0.197563731,1.14E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.197563731
Aco1,-0.19751338,1.16E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.19751338
Ppap2c,-0.197440921,1.20E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.197440921
Itfg3,-0.197415702,1.21E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.197415702
Nox4,0.196977357,1.46E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.196977357
Ccdc151,0.196473547,1.82E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.196473547
Tstd1,0.19636373,1.90E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.19636373
Pxmp4,-0.196124124,2.11E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.196124124
Samd8,0.196111151,2.12E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.196111151
Pdha1,-0.195607287,2.63E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.195607287
Cd81,-0.195191757,3.14E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.195191757
Nnt,-0.195042851,3.34E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.195042851
Rpl21,0.194434853,4.32E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.194434853
Cd164,-0.194253202,4.67E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.194253202
Slc12a1,-0.194167912,4.84E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.194167912
Chrna4,0.193645777,6.03E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.193645777
2210016L21Rik,0.193629298,6.07E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.193629298
Paqr9,-0.19335459,6.82E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.19335459
Lyplal1,0.193278273,7.04E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.193278273
Srcin1,0.19326456,7.08E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.19326456
Rplp2,0.192910058,8.22E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.192910058
Rps10,0.19288052,8.32E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.19288052
Mtor,-0.19268683,9.03E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.19268683
Car4,-0.192496275,9.77E-19,Kidney_kidney proximal convoluted tubule epithelial cell,0.192496275
Gas5,0.192357095,1.04E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.192357095
Mdk,0.192122161,1.14E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.192122161
0610008F07Rik,-0.191820284,1.30E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.191820284
Map1lc3b,0.191758561,1.33E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.191758561
Etfb,-0.19166189,1.39E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.19166189
Rps19,0.191251669,1.64E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.191251669
Acot1,-0.191177876,1.69E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.191177876
Bsg,-0.191060641,1.78E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.191060641
Lmf2,-0.191003185,1.82E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.191003185
Tmem176b,-0.190521158,2.22E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.190521158
Slc25a48,0.19045954,2.28E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.19045954
Dab2,0.19040805,2.33E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.19040805
Tpt1,0.190206983,2.53E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.190206983
Irf2bp2,0.190095127,2.65E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.190095127
Atp6v1a,-0.189890534,2.89E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189890534
Shmt2,-0.189871291,2.91E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189871291
Lrp2,-0.189654116,3.18E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189654116
Chdh,-0.189649755,3.19E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189649755
Prss8,-0.189420624,3.50E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189420624
Uqcrc2,-0.189308835,3.67E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189308835
Mlec,-0.189235024,3.78E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.189235024
Syngr2,-0.188456779,5.21E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.188456779
Nap1l5,0.188264106,5.63E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.188264106
Treh,-0.187964619,6.37E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.187964619
Ephx2,-0.187847151,6.68E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.187847151
1110002B05Rik,0.18780336,6.80E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.18780336
Odc1,-0.187662186,7.20E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.187662186
2010001M06Rik,-0.187151747,8.87E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.187151747
Eif1,0.187150014,8.87E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.187150014
Cpt1a,-0.186880644,9.90E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.186880644
2310081J21Rik,0.186877012,9.91E-18,Kidney_kidney proximal convoluted tubule epithelial cell,0.186877012
Snx29,0.186535648,1.14E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.186535648
Isyna1,-0.186477562,1.17E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.186477562
H2-K1,0.186358564,1.22E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.186358564
Rhobtb1,0.186339185,1.23E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.186339185
Npm1,0.186127865,1.34E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.186127865
H2-Aa,0.185669528,1.62E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.185669528
Dgat2,-0.185187882,1.96E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.185187882
5031425E22Rik,0.185032625,2.09E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.185032625
Phb,-0.184624526,2.46E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.184624526
Ankrd33b,0.18446902,2.62E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.18446902
Ace2,-0.184376773,2.72E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.184376773
Rpl5,0.184355948,2.74E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.184355948
Gas6,0.184279452,2.82E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.184279452
Slc16a4,-0.184200202,2.91E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.184200202
Cpt2,-0.183857239,3.34E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.183857239
Mrp63,-0.183849238,3.35E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.183849238
Ost4,0.183433636,3.96E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.183433636
Rad21,-0.183008901,4.68E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.183008901
Hdac6,-0.182771025,5.15E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.182771025
Azgp1,0.18264513,5.41E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.18264513
Slc18a1,-0.18257289,5.57E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.18257289
Gadd45g,-0.182443302,5.86E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.182443302
Pdia4,-0.182293573,6.22E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.182293573
Elovl1,-0.182183944,6.49E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.182183944
Kcnq1ot1,0.18215968,6.56E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.18215968
Spag9,0.181930319,7.18E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.181930319
Letm1,-0.18170155,7.86E-17,Kidney_kidney proximal convoluted tubule epithelial cell,0.18170155
Ttr,-0.181036071,1.02E-16,Kidney_kidney proximal convoluted tubule epithelial cell,0.181036071
Tmem86b,0.180998041,1.04E-16,Kidney_kidney proximal convoluted tubule epithelial cell,0.180998041
